"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2014";"67,33";"11,52";"44,12";"52,93";"24,11";"38,02";"54,73";"43,49";"52,87";"57,84";"41,17";"42,16";"54,97";"52,93";"60,08";"61,83";"66,23";"82,99";"61,25";"67,84";"61,57";"78,23";"63,89";"76,16";"58,67";"69,18";"82,97";"60,13"
"2015";"116,26";"73,22";"97,74";"98,21";"73,83";"88,47";"94,52";"91,82";"87,08";"102,26";"87,97";"83,36";"96,59";"98,05";"95,57";"94,42";"100,35";"94,01";"99,65";"102,42";"105,64";"103,16";"96,25";"112,53";"99,49";"90,65";"74,69";"97,07"
"2016";"84,04";"60,42";"68,07";"72,93";"55,85";"87,09";"75,63";"56,54";"60,31";"94,11";"63,17";"74,95";"76,36";"72,88";"68,47";"60,53";"79,07";"78,10";"77,94";"63,43";"75,43";"84,03";"72,74";"83,15";"78,33";"72,30";"107,07";"71,58"
"2017";"85,23";"65,77";"75,46";"88,15";"64,13";"64,89";"81,50";"68,11";"76,28";"93,14";"62,02";"83,53";"81,35";"87,96";"75,94";"72,54";"86,22";"73,57";"85,40";"76,13";"86,35";"83,33";"78,52";"85,31";"79,80";"77,45";"81,36";"78,94"
"2018";"82,06";"76,05";"78,16";"83,38";"67,66";"68,19";"84,08";"70,62";"76,38";"93,68";"77,22";"83,19";"82,55";"89,19";"81,98";"73,53";"91,46";"88,57";"81,56";"83,59";"88,55";"87,16";"83,78";"91,90";"83,01";"81,55";"85,21";"82,69"
"2019";"85,01";"80,62";"85,32";"81,05";"72,67";"77,17";"87,09";"74,06";"80,21";"91,32";"81,40";"91,77";"86,09";"88,65";"82,05";"75,30";"92,00";"91,96";"77,67";"86,26";"91,29";"94,35";"89,42";"94,21";"82,91";"83,29";"87,32";"85,02"
"2020";"78,62";"59,71";"68,69";"62,43";"59,07";"44,59";"83,15";"58,67";"75,08";"85,83";"72,63";"70,97";"70,50";"72,24";"67,20";"69,02";"89,83";"83,12";"54,02";"80,84";"86,73";"88,93";"84,20";"80,09";"81,40";"79,36";"78,84";"75,90"
"2021";"66,89";"53,11";"63,75";"49,00";"52,71";"42,28";"74,99";"53,54";"66,62";"68,80";"64,72";"61,60";"63,33";"68,15";"66,57";"57,95";"77,36";"75,14";"53,60";"72,93";"80,03";"80,32";"70,50";"68,86";"70,14";"70,24";"73,06";"67,54"
"2022";"74,51";"62,15";"71,38";"55,13";"58,61";"47,13";"81,19";"63,60";"76,84";"79,53";"71,07";"70,49";"69,65";"79,39";"74,88";"68,03";"82,18";"63,50";"56,46";"74,60";"83,47";"87,86";"76,49";"81,03";"79,43";"74,32";"78,06";"72,99"
"Total";"73,89";"53,71";"65,48";"64,37";"52,77";"56,27";"71,51";"57,61";"64,73";"76,53";"61,79";"66,02";"67,99";"70,38";"66,98";"62,92";"76,44";"73,32";"65,14";"70,74";"76,06";"79,34";"71,76";"77,49";"71,92";"70,32";"74,98";"69,16"
