"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"1994";"54,17";"24,31";"17,86";"49,36";"38,36";"0";"0";"34,81";"53,33";"94,18";"69,70";"0";"51,16";"0";"0";"76,52";"0";"73,72";"0";"0";"0";"87,00";"0";"0";"48,25";"37,28";"0";"58,24"
"1995";"68,75";"45,84";"48,41";"93,94";"45,48";"59,74";"0";"43,91";"65,31";"106,37";"73,06";"40,16";"112,12";"54,07";"92,80";"48,70";"0";"73,97";"90,96";"97,00";"70,01";"97,47";"96,69";"0";"58,58";"85,64";"0";"77,83"
"1996";"73,78";"61,34";"84,96";"83,36";"47,88";"71,93";"64,37";"38,44";"64,42";"103,09";"66,30";"74,99";"119,08";"40,02";"87,14";"55,84";"0";"80,89";"76,30";"101,36";"91,28";"83,81";"79,90";"68,82";"68,61";"82,35";"105,49";"80,86"
"1997";"92,83";"78,74";"85,73";"81,69";"49,71";"86,57";"100,46";"62,35";"62,77";"109,36";"75,44";"85,18";"128,05";"50,12";"98,86";"68,03";"76,28";"98,38";"98,15";"106,69";"97,90";"94,32";"91,24";"80,17";"104,25";"68,33";"107,50";"89,27"
"1998";"104,67";"71,71";"86,73";"103,03";"83,76";"76,07";"108,06";"64,78";"83,15";"90,05";"73,31";"87,05";"131,43";"60,33";"98,19";"80,54";"82,20";"120,33";"102,14";"114,70";"96,47";"88,54";"87,38";"93,79";"109,78";"91,10";"127,57";"95,30"
"1999";"96,48";"76,77";"84,06";"99,13";"86,14";"85,72";"107,50";"68,41";"94,71";"104,02";"79,87";"94,52";"127,29";"85,32";"105,68";"83,54";"93,10";"148,59";"101,67";"112,18";"92,91";"92,97";"94,68";"97,52";"111,50";"98,08";"126,08";"99,08"
"2000";"98,82";"92,64";"103,46";"134,10";"109,25";"91,16";"106,04";"80,98";"99,34";"101,39";"86,79";"91,89";"114,08";"94,25";"101,90";"95,25";"106,70";"108,53";"93,98";"102,35";"104,42";"102,57";"97,37";"112,63";"125,46";"107,12";"99,53";"101,44"
"2001";"104,77";"113,91";"90,00";"85,58";"107,74";"155,06";"118,44";"96,45";"106,39";"112,59";"91,46";"103,87";"104,61";"86,47";"101,53";"108,30";"99,22";"109,82";"94,07";"103,34";"105,76";"105,67";"98,15";"111,29";"117,54";"101,08";"97,51";"102,83"
"2002";"98,27";"122,35";"91,89";"93,31";"118,45";"94,27";"106,54";"96,78";"106,35";"103,92";"94,42";"100,66";"103,77";"98,48";"103,27";"93,10";"91,01";"114,88";"111,61";"95,89";"102,67";"99,10";"93,52";"114,34";"111,61";"99,28";"97,23";"100,01"
"2003";"93,97";"131,65";"85,63";"86,46";"118,52";"98,44";"102,04";"99,51";"103,72";"98,78";"97,37";"98,24";"113,81";"100,75";"107,79";"92,07";"87,11";"119,51";"111,46";"98,31";"103,38";"101,54";"96,20";"107,08";"108,27";"104,13";"96,96";"100,48"
"2004";"103,75";"111,35";"91,44";"91,02";"124,94";"104,02";"106,65";"108,34";"106,00";"115,84";"98,65";"103,13";"109,86";"104,98";"107,34";"103,14";"103,49";"112,22";"108,27";"98,19";"99,66";"100,27";"95,04";"99,47";"109,45";"111,97";"101,10";"104,30"
"2005";"110,25";"94,05";"90,97";"100,22";"123,42";"99,70";"106,26";"112,95";"102,53";"110,62";"98,43";"104,78";"109,70";"103,22";"97,17";"109,82";"105,86";"112,11";"118,98";"96,74";"99,65";"101,37";"97,64";"100,48";"112,94";"104,03";"96,60";"105,12"
"2006";"122,13";"94,66";"89,85";"90,94";"116,22";"94,36";"108,91";"114,26";"107,62";"109,21";"102,95";"111,07";"109,60";"103,88";"99,51";"109,76";"105,99";"112,45";"103,95";"99,93";"103,49";"101,03";"99,10";"104,61";"109,60";"110,61";"101,83";"105,25"
"2007";"120,88";"116,33";"93,06";"95,00";"111,15";"98,82";"109,02";"118,59";"108,31";"108,98";"99,01";"110,40";"110,94";"94,38";"108,68";"105,46";"105,58";"108,97";"112,08";"98,67";"102,69";"104,07";"99,89";"104,83";"112,30";"112,35";"100,31";"105,43"
"2008";"105,98";"94,64";"87,06";"89,57";"109,56";"97,10";"99,83";"108,01";"100,04";"105,37";"92,36";"101,47";"106,67";"90,87";"99,94";"98,45";"99,56";"104,58";"108,31";"96,60";"96,32";"96,82";"93,33";"96,87";"104,55";"104,30";"99,18";"100,18"
"2009";"111,99";"110,91";"93,57";"103,67";"106,11";"126,11";"107,81";"112,14";"103,42";"105,70";"95,99";"110,05";"108,60";"106,07";"105,73";"102,30";"105,19";"107,32";"109,39";"99,10";"100,36";"102,55";"95,28";"106,10";"107,67";"105,20";"101,97";"103,66"
"2010";"101,20";"104,03";"92,48";"96,71";"103,38";"90,75";"97,21";"106,62";"97,02";"101,03";"96,67";"100,95";"101,18";"100,47";"99,87";"95,93";"100,41";"103,07";"106,87";"96,60";"99,60";"98,82";"92,34";"99,64";"100,40";"100,56";"94,20";"99,35"
"2011";"107,32";"111,03";"87,15";"95,52";"101,54";"84,58";"99,62";"102,93";"98,47";"100,00";"96,88";"101,97";"109,60";"90,61";"103,40";"97,32";"103,22";"108,26";"112,15";"100,30";"102,50";"101,18";"95,07";"95,54";"103,22";"107,11";"86,48";"101,33"
"2012";"105,68";"96,07";"91,93";"88,78";"97,78";"92,67";"92,75";"97,54";"93,91";"97,79";"93,98";"92,08";"100,08";"90,22";"96,85";"93,26";"98,61";"104,93";"96,87";"96,44";"96,78";"99,97";"89,40";"102,28";"99,50";"101,00";"93,65";"96,55"
"2013";"100,07";"92,78";"96,83";"86,48";"96,98";"93,31";"96,97";"105,73";"93,06";"104,79";"93,86";"108,24";"101,06";"97,53";"99,41";"96,40";"103,24";"100,22";"99,95";"98,95";"104,65";"97,78";"100,28";"118,01";"101,20";"107,69";"112,17";"100,71"
"2014";"108,09";"75,44";"98,86";"89,54";"84,36";"80,66";"90,51";"93,42";"81,86";"103,92";"95,63";"100,40";"101,68";"93,32";"94,25";"93,87";"96,51";"101,25";"100,89";"95,73";"98,76";"97,17";"95,42";"130,10";"102,47";"97,65";"94,34";"96,76"
"2015";"105,44";"82,74";"104,80";"112,28";"72,09";"92,38";"97,22";"100,02";"80,92";"113,68";"97,64";"96,12";"109,29";"94,25";"93,69";"95,42";"97,12";"99,39";"107,03";"99,68";"97,39";"102,43";"89,20";"120,36";"102,81";"95,88";"74,92";"98,29"
